word	sentence1	sentence2
kill	 He killed a terrorist.	 He killed some time by reading some comic books.
finance	 We need some more financial support.	 We found that cancer cells had more financial support.
shatter	 The impact shattered the glass.	 As his words shattered me, I shattered.
back	 The bus will back up to your destination.	 The back of her shirt was torn.
summer	 Most of the countries in the European Union are now open to summer fruits and vegetables.	 I wondered what the summer breeze would feel like.
stir	 Stir the sauce for five minutes.	 Maintain peace won't come from stirring things up.
rake	 The leaves need to RAKED.	 He said to take out the garbage.
refine	 Pierre had to refine his thesis for his advisor.	 Most of the neighborhoods in the fire have been refined to blacktop.
push	 You must push that elevator all the way down.	 He didn't want to pushSentence 1
shower	 Many people like to take showers after work.	 I need to shower before I go to work.
top	 The mountain is top of the list of things to do.	 The top of the table is scorched.
face	 She was left with nothing but the face of her daughter.	 I've never seen it rain so hard.
break	 It's after 10 o'clock.	 Cars break the sound barrier all the time.
exercise	 Exercise produces endorphins.	 Exercise reduces stress.
click	 It is harder to quickly click on the close the window now that the address is in an input box.	
flick	 Flip the water off of the table mat.	 Keep your eyes on the ball.
range	 The population ranges from age two to age fifty.	 My voice ranged at least half a mile.
eyeball	 Keep an eye on my stuff.	 Your prescription needs to be eyeballed again.He didn't know how to eyeball a nerve transplant.
shade	 We would like a little shade over here, now.	 This chair lies in a sheltered area, providing it with the best of both sun and shade.
like	 If I like the end result it'll be a good thing.	 I like watermelon.
coordinate	 I need you to coordinate transport.	 Let’s coordinate our outfits!
find	 I think we found the problem.	 We found an odd pattern.
disband	 The band disbanded after the lead guitarist passed.	 After the winter, the trail gets disbanded by plants.
purchase	 My company paid $2,500 for this trade show booth.	 I'm too ashamed to purchase any of the clothes displayed in front of me.
straighten	 You must straighten your bed in the morning.	 Fastening a chain around a straight, horizontal track.
view	 I had a momentary view of the girl.	 There is no view from our window.
cure	 We need to cure disease.	 It is important to make sure the cheese is cured long enough, otherwise it tastes like raw milk.
paste	 Elmer's glue is made to paste two materials together.	 Pasta is the glue that binds the sauce and pasta to create a tasty dish.
intermingle	 My life has been immersed in scientific research.	 The holiday blend intermingles brightly colored breads with vivid jams.
substantiate	 This will substantiate my point.Sentence 2	 I want proof of authenticity.
repair	 Repairs to bridges can be expensive.	 I've never been able to repair a zipper.
hedge	 High hedges hid the need for privacy.	 She didn't want to hedge her bets.
crash	 The horses crashed into the fence.	 John crashed his computer.The horses crashed into the fence.John's computer crashed.
vegetate	 The victim received a tragic shock  Sentence 2	 Sound carries well over water Sentence 2
negociate	 The group will try to negociate a deal.	 He will try to negociate a table at a busy restaurant.
ski	 Let's go skiing later.	 No one here knew how to ski.
locate	 I'll show you how to locate the lost key.	 The satellite will locate the lost ship.
fear	 She fears she will fail her test.	 Children's fears cannot be forgotten.
snap	 Jenna snapped the picture.	 Does a well known mannequin brand still snap in?I snapped this picture.Well-known brands in the fashion industry still snap in people in sometimes, right?
sweep	 I looked for dirt and swept it up.	 The shop girl was caught sweeping the floor.
quibble	 They continued to quibble about the little things.	 I will quibble with you about who goes first.
meet	 We were meeting up at the supermarket to purchase some goods.	 They are meeting in the living to extend the TV cable.
work	 My job was to work security.	 We must work harder to protect people.
misplay	 The defense misplayed the ball and it dropped to the ground.	 I'm sorry if I misplayed our last phone conversation.
bake	 You should bake these cookies at a lower heat so they don't burn.	 The oven does not have a bake cycle.
militate	 His encouragement militated for fairness in the contest.	 There was an insurgence around the military standard around which the discussion opened.
roughcast	 The roof was roughcast and needed repairs.	 The man put a roughcast plaster on the wall.
appeal	 You'll need to appeal (verb- apply/petition in a specified, usually successful way) your parking ticket.	 Hypnotic suggestion is not an appropriate means of appeal.Sentence 1
process	 This sentence is processed in the brain.	 Have you thought about processing the potatoes?
disperse	 The crowd dispersed.	 All of the goldfish dispersed.
care	 I really don't care.	 I care about what you think.
speak	 The speaker must speak clearly and loudly to be heard.	 It is important to listen when you are spoken to.
breathe	 The lungs inhale the oxygen in the ambient air.	 He breathed deeply in comfort.
distribute	 Not everyone is distributing their wealth equally.	 Air currents distribute the warm and cold air.
detach	 Children are cautioned not to detach the pieces of the bicycle.	 It is the cold that detaches the ocean of ice from the shale rock.
