,passage,questions,answers
0,"Remember Me is a 2010 American romantic coming of age drama film directed by Allen Coulter, and screenplay by Will Fetters. It stars Robert Pattinson, Emilie de Ravin, Chris Cooper, Lena Olin and Pierce Brosnan. The film's plot follows Tyler (Pattinson), a rebel in New York City who has trouble with the law while trying to save his little sister from being sent away after their mother's death. He falls in love with Ally Craig (de Ravin), whose father Charles (Cooper) happens to be the head of police working on Tyler's case. 
"," Is Remember Me classified as a romance movie? 
", Yes
1,"In basketball, a technical foul is any infraction of the rules penalized as a foul which does not involve physical contact during the course of play between opposing players on the court, or is committed by team members in reaction to such events. Most commonly it is called against a player for unsportsmanlike conduct; when called against an assistant coach or head coach, it may also be referred to as bench technical. Depending on league and level of play, violations that incur technical fouls may include talking trash to opponents or officials (particularly after making calls with which one disagrees), fighting/arguing with other players or officials (including using profane language towards them), failing to update ones scorekeeping status promptly upon reentering live game action from the bench area while being required do so by rule,[1] throwing objects onto the playing surface during gameplay outside designated areas for doing so without delay via timeouts,[2][3] excessively arguing official rulings beyond what would normally require only requesting clarification about specific details related thereto through proper channels within certain timeframe limits set forth in relevant sections governing same under respective leagues' officiating manuals[4][5], and various types of taunting.[6
"," 
Is excessive arguing with referees considered atechnical foul? 
",
2,"Over the Garden Wall is an American animated television miniseries created by Patrick McHale for Cartoon Network. The series centers on two half-brothers who travel across a strange forest in order to find their way home, encountering various magical creatures along the way. 
"," Over the Garden Wall is an American animated television show. 
", True
3,"In Vermont, there is no statutory provision for the registration of firearms. Permits are not required to carry a rifle, shotgun or handgun either openly or concealed.[1] The carrying of a loaded firearm in a vehicle is allowed only if the gun is ""under [the person's] direct control.""[2][3]. 
"," Is it legal to carry a loaded firearm in a vehicle in Vermont? 
", True
4,"The IRT Third Avenue Line is a New York City Subway line that runs under Third Avenue in the borough of Manhattan. It opened on January 17, 1917 as part of the Dual Contracts expansion and reached its full length on September 24, 1919 when it was extended to East 143rd Street and St. Ann's Avenue in The Bronx.[1]
The line is served by 6 trains at all times except late nights, when only the <6> train operates (11 PM-5 AM).
"," 
Does the IRT Third Avenue Line have express service?
", False
5,"
As we know it, the world is a beautiful place. It's full of different cultures and traditions, and each day brings new experiences. However, there are also some negative aspects to life on earth. For example, natural disasters can occur without warning and cause devastation. Additionally, humans sometimes behave in ways that harm others or the environment.
"," Does the world always have negative aspects? 
", False
6,"In chemistry, a diatomic molecule is a covalently bonded molecule consisting of only two atoms. The prefix dia- comes from the Greek δια-, meaning ""across"" or ""through"". Common examples of diatomic molecules are hydrogen (H2), oxygen (O2), and nitrogen (N2). 
"," do all diatomic molecules contain nitrogen? 
", False
7,"Marco Polo is an American television drama that premiered on Netflix on December 12, 2014. The series was inspired by Marco Polo's early years in the court of Kublai Khan, and follows his adventures as he travels through China. 
"," Is Marco Polo a historical figure? 
", True
8,"A power outage is a temporary loss of electricity. Power outages can occur due to faults in the supply system, severe weather conditions, or planned maintenance work. 
"," Is a power outage always caused by severe weather conditions? 
", False
9,"The Independence Day of the Philippines (Filipino: Araw ng Kalayaan), is an annual national holiday in the Philippines observed on June 12, commemorating the declaration of independence from Spain. The act of declaring independence was led by Emilio Aguinaldo with a document known as the Acta de la Proclamación de Independencia del Pueblo Filipino en Balara el 2 de Junio 1898 and had been approved by 97 voting delegates representing all provinces throughout Spanish East Indies.
"," Is Philippine's Independence Day celebrated on June 12th? 
", True
10,"
An undergraduate degree is a university or college degree taken by someone who has finished secondary education. It is also known as a first degree. In the United States, an undergraduate degree takes four years to complete and can be in any subject area. 
"," Is an undergraduate degree generally completed in four years? 
", True
11,"Mine is a 2016 American war drama film directed byMine is a 2016 American war drama film directed by Sean Hanish and written by Dick Beebe. The film stars Armie Hammer, Annabelle Wallis, Tom Cullen, Clint Dyer and Geoff Bell. It was released on October 7, 2016 in the United States.
"," Was Mine well-received by audiences? 
", False
12,"Vicks VapoRub is a mentholated topical ointment, part of the Vicks brand of over-the-counter medications owned by the American company Procter & Gamble. It has been used for many years to relieve muscle aches and pains. It can also be added to hot water as a vapo inhalation product to treat colds, minor sore throat pain, chest congestion due mainly to bronchitis or pneumonia; however there are no scientific studies supporting these claims
"," 
Can VapoRub be used on open wounds?
", False
13,"Spanish rice, also known as arroz rojo or arros negre, is a dish made with white rice, tomatoes, and spices. It is popular in Spanish-speaking countries such as Spain, Mexico, and Cuba. 
"," Is Spanish Rice typically made with brown rice? 
", False
14,"
Fish oil is a dietary supplement derived from fish body oils. It typically contains omega-3 fatty acids, which are considered to be beneficial to human health. Fish oil supplements are available as capsules or liquids and can be taken orally or used in food preparation.
"," 
Is fish oil a dietary supplement? 
", True
15,"The Tussauds Group is a company specializing in wax museums, founded by Marie Tussaud. It has locations across Europe, the United States, and Asia. 
"," Is The Tussauds Group an international company? 
", True
16,"The Wii U is a home video game console developed by Nintendo, and the successor to the Wii. The system was released in November 2012 and was discontinued in January 2017. The Wii U is the first Nintendo console to support HD graphics.
"," 
Is the Wii U a handheld device?
", False
17,"The Flight of Fear is a steel roller coaster located at Kings Island in Mason, Ohio. The ride originally opened as ""The Bat"" in 1981. It was the first inverted roller coaster built by Arrow Dynamics and featured a unique batwing car design. In 1998, the ride was renovated and re-themed to its current name.
"," 
Is the Flight of Fear located at Kings Island in Ohio? 
", True
18,"The Strait of Dover or Dover Strait, historically known as the Downs, is a narrow strait at the northern end of the English Channel separating Great Britain from continental Europe. The shortest distance across it is about 21 miles (33 km) at its narrowest point near Calais; though because of tidal effects this varies between 18 mi (29 km) and 23 mi (37 km).
"," Is the strait of dover located in France? 
", False
19,"Lev Ivanovich Yashin (Russian: Лев Ива́нович Я́шин, IPA: [lʲef ɪˈvanəvʲɪt͡ɕ jɐˈʂin], 22 October 1929 – 20 March 1990), nicknamed the ""Black Spider"" or the ""Black Panther"", was a Soviet professional footballer who played as a goalkeeper. He is widely considered to be one of the greatest goalkeepers in football history, and by many as the greatest ever.
"," Is Lev Yashin considered to be one of the greatest goalkeepers in football history?
", True
20,"The Federal Reserve System, often referred to as the Fed, is the central banking system of the United States. It was created on December 23, 1913, with the enactment of the Federal Reserve Act, after a series of financial panics (particularly panic of 1907) led to calls for overall reform of the US banking system. Over time it has evolved from having only 12 regional banks under its umbrella into a complex organization that includes over 5 thousand depository institutions and other entities such as holding companies. The current chairperson is Jerome Powell who took office in February 2018 
"," Is Jerome Powellthe first chairperson of Federal Reserve System? 
", False
21,"Santa Monica is a beachfront city in western Los Angeles County, California, United States. The Census Bureau estimated its 2019 population at 93,613.[10] Santa Monica is home to many high-tech companies and the Third Street Promenade shopping district.
"," 
Is Santa Monica located in Los Angeles County? 
", True
22,"The Equal Rights Amendment (ERA) is a proposed amendment to the United States Constitution designed to guarantee equal rights for all citizens regardless of sex. The ERA was originally drafted by Alice Paul and Crystal Eastman in 1923, and submitted to Congress for ratification in 1972. In 1973, it passed both houses of Congress with bipartisan support and was sent to the states for ratification. 
"," Did the ERA pass both houses of congress? 
", True
23,"Warped Tour is a travelling rock music festival that has taken place every summer since 1995. The tour was founded by Kevin Lyman, and features bands of a variety of genres. Warped Tour has been an annual tradition for music lovers all over the country, and typically lasts around six weeks. 
"," Does Warped Tour last longer than six months?
", False
24,"Terminal value is the present value of all future cash flows after the last period in a discounted cash flow (DCF) valuation. The terminal year free cash flow (FCF), which is equal to unlevered FCF, is then Discounted back at cost of equity or weighted average cost of capital (WACC). 
"," Is Terminal Value always positive? 
", False
25,"The CN Tower is a concrete communications and observation tower in downtown Toronto, Ontario, Canada. Built on the former Railway Lands, it was completed in 1976 at a height of 553.3 metres (1,815 ft 6 ins), making it taller than any other free-standing structure and the tallest building in North America until 1998 when Chicago's Willis Tower surpassed its height by 13 feet (4 m).
"," Is the CN tower still the tallest building in canada? 
", True
26,"
A double degree is an academic degree earned by completing two separate programs at the same time. Typically, students will complete a program in one field of study and then add on a second program that compliments their first degree. For example, someone might study business administration and then earn a second degree in accounting. Double degrees are becoming increasingly popular as they allow students to specialize in two areas and make themselves more attractive to employers. 

"," Does earning a double degree involve completing two separate programs? 
", True
27,"
Double jeopardy is a legal term that describes the situation where someone who has been charged with a crime cannot be tried for the same crime again. The principle of double jeopardy is enshrined in many legal systems, including the United States Constitution. 

"," Is the principle of double jeopardy applicable in all legal systems? 
", False
28,"Piper Kerman is an American author who was indicted in 1998 on charges of money laundering and drug trafficking. She served 13 months in prison from 2004 to 2005. In 2010, she published Orange Is the New Black: My Year in a Women's Prison, which became a best-selling memoir and was adapted into an Emmy Award-winning television series by Jenji Kohan.
"," 
Did Piper Kerman write Orange Is the New Black? 
", True
29,"Draughts or checkers is a group of strategy board games for two players which involve diagonal moves of uniform game pieces and mandatory captures by jumping over opponent pieces. Draughts developed from alquerque. The name derives from the verb to draw or to move (the piece).
"," Is draughts a board game? 
", True
30,"Fun Dip is a candy manufactured by The Willy Wonka Candy Company, a division of Nestlé. It consists of flavored powder which is eaten by licking the stick, dipping it into the powder, and then licking off the powder. The sticks are made of wood fiber or plastic and come in two colors: orange/cherry and grape. 
"," Is Fun Dip vegan?
", False
